123456, Ola, Nordmann, 19.04.2000, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, B
123456, Ola, Nordmann, 19.04.2000, SMF2293F, 2019, Winter, Vilde Vårstad, 10, F
123456, Ola, Nordmann, 19.04.2000, IMT2671, 2019, Autumn, Vetle Hvasnakk, 7, F
234567, Kari, Sørdame, 01.01.1999, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, A
234567, Kari, Sørdame, 01.01.1999, SMF2293F, 2019, Winter, Vilde Vårstad, 10, A
234567, Kari, Sørdame, 01.01.1999, IMT3009, 2019, Autumn, Harald Hard, 7, C
113456, Jenser, Jenson, 02.02.2000, IMT1101, 2019, Spring, Henrik Range, 5, F
113456, Jenser, Jenson, 02.02.2000, SMF2293F, 2019, Winter, Vilde Vårstad, 10, B
113456, Jenser, Jenson, 02.02.2000, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, C
239009, Sara, Sommel, 14.03.1994, IMT1101, 2019, Spring, Henrik Range, 5, A
239009, Sara, Sommel, 14.03.1994, SMF2293F, 2019, Winter, Vilde Vårstad, 10, B
239009, Sara, Sommel, 14.03.1994, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, A
123456, Ola, Nordmann, 19.04.2000, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, B
123456, Ola, Nordmann, 19.04.2000, SMF2293F, 2019, Winter, Vilde Vårstad, 10, F
123456, Ola, Nordmann, 19.04.2000, IMT2671, 2019, Autumn, Vetle Hvasnakk, 7, F
234567, Kari, Sørdame, 01.01.1999, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, A
234567, Kari, Sørdame, 01.01.1999, SMF2293F, 2019, Winter, Vilde Vårstad, 10, A
234567, Kari, Sørdame, 01.01.1999, IMT3009, 2019, Autumn, Harald Hard, 7, C
113456, Jenser, Jenson, 02.02.2000, IMT1101, 2019, Spring, Henrik Range, 5, F
113456, Jenser, Jenson, 02.02.2000, SMF2293F, 2019, Winter, Vilde Vårstad, 10, B
113456, Jenser, Jenson, 02.02.2000, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, C
239009, Sara, Sommel, 14.03.1994, IMT1101, 2019, Spring, Henrik Range, 5, A
239009, Sara, Sommel, 14.03.1994, SMF2293F, 2019, Winter, Vilde Vårstad, 10, B
239009, Sara, Sommel, 14.03.1994, IMT2641, 2019, Spring, Vetle Hvasnakk, 5, A
